sample_id,group_id,split,label,dataset,image,sha256,bytes,width,height,seatbelt_state,confound_note
001-positive,001,calibration,1,passenger_smoking_100,001.jpg,7d94f1e1328e2b8cdb682a5f3bfb35957681ce12578c6cc7e1583edfc65e7300,420588,1920,1080,UNKNOWN,The paired sets differ in smoking label and seatbelt state; this pilot cannot isolate smoking as the only causal factor.
001-negative,001,calibration,0,passenger_unbelted_nonsmoking_100,001.jpg,dce74107544713558a7cc6f45bcaa3c0d9594dd1d218885106b7abb744cbf487,463613,1920,1080,UNBELTED_BY_DATASET_CONTRACT,The paired sets differ in smoking label and seatbelt state; this pilot cannot isolate smoking as the only causal factor.
002-positive,002,test,1,passenger_smoking_100,002.jpg,a75b89f5fe2569858610460300572f170a2fb930c7b1678cc5478033675e8b66,428287,1920,1080,UNKNOWN,The paired sets differ in smoking label and seatbelt state; this pilot cannot isolate smoking as the only causal factor.
002-negative,002,test,0,passenger_unbelted_nonsmoking_100,002.jpg,935790ad7741fcddec8eb1c088691b24384a9efa5a12300a328d09feffd7ef08,396110,1920,1080,UNBELTED_BY_DATASET_CONTRACT,The paired sets differ in smoking label and seatbelt state; this pilot cannot isolate smoking as the only causal factor.
003-positive,003,calibration,1,passenger_smoking_100,003.jpg,0b88552ddd98ebbc4c0a04043e1f7649fe6c6fd021008d00709f811940424ac3,463439,1920,1080,UNKNOWN,The paired sets differ in smoking label and seatbelt state; this pilot cannot isolate smoking as the only causal factor.
003-negative,003,calibration,0,passenger_unbelted_nonsmoking_100,003.jpg,efb896dd22c4a05c7a6258d0608bcde2b1cbdd01e2035d3a2a4b0a902eda2bd2,457252,1920,1080,UNBELTED_BY_DATASET_CONTRACT,The paired sets differ in smoking label and seatbelt state; this pilot cannot isolate smoking as the only causal factor.
004-positive,004,calibration,1,passenger_smoking_100,004.jpg,ce639c2ce31242af190170abf83c468d9a3613cd64d6360106ee892aa4e6e06f,511984,1920,1080,UNKNOWN,The paired sets differ in smoking label and seatbelt state; this pilot cannot isolate smoking as the only causal factor.
004-negative,004,calibration,0,passenger_unbelted_nonsmoking_100,004.jpg,b712e9b6660661cb768072b6be6466e936bee6334fdb0e1eb47347dd861c243c,465488,1920,1080,UNBELTED_BY_DATASET_CONTRACT,The paired sets differ in smoking label and seatbelt state; this pilot cannot isolate smoking as the only causal factor.
005-positive,005,calibration,1,passenger_smoking_100,005.jpg,c3903793964a0ec461e8ddd381ea2fab87cc79e417eb2bf0836618f279659230,453179,1920,1080,UNKNOWN,The paired sets differ in smoking label and seatbelt state; this pilot cannot isolate smoking as the only causal factor.
005-negative,005,calibration,0,passenger_unbelted_nonsmoking_100,005.jpg,5ff551ea0b268bf048e7eba272bb5910bac4418cce100b5a68b048fd1933486f,472262,1920,1080,UNBELTED_BY_DATASET_CONTRACT,The paired sets differ in smoking label and seatbelt state; this pilot cannot isolate smoking as the only causal factor.
006-positive,006,calibration,1,passenger_smoking_100,006.jpg,f5dc6ed38d7739ea70aa5aa1f8880990aa4d5b98d0e5f553a70c60ea1b144089,494663,1920,1080,UNKNOWN,The paired sets differ in smoking label and seatbelt state; this pilot cannot isolate smoking as the only causal factor.
006-negative,006,calibration,0,passenger_unbelted_nonsmoking_100,006.jpg,3cc8c835a340957d5995bc35f31e3ecd9a047a69a1ea632dc9bd1dc4e3b01c81,407734,1920,1080,UNBELTED_BY_DATASET_CONTRACT,The paired sets differ in smoking label and seatbelt state; this pilot cannot isolate smoking as the only causal factor.
007-positive,007,calibration,1,passenger_smoking_100,007.jpg,d4837324dde863bfc45734adbc931fd59ee06cc92f13393530834b6e9afb8f85,412692,1920,1080,UNKNOWN,The paired sets differ in smoking label and seatbelt state; this pilot cannot isolate smoking as the only causal factor.
