image,sha256,source_bytes,fast_bytes,classification,contract_valid,smoking_detected,person_count,location,confidence,description,pass_count,fallback_used,thinking_enabled,fast_prompt_tokens,fast_completion_tokens,fallback_prompt_tokens,fallback_completion_tokens,total_prompt_tokens,total_completion_tokens,preprocess_ms,fast_request_ms,fallback_request_ms,end_to_end_ms,failure_code
001.jpg,7d94f1e1328e2b8cdb682a5f3bfb35957681ce12578c6cc7e1583edfc65e7300,420588,103276,detected,True,1,1,IMAGE_ROW_2_RIGHT,0.95,检测到吸烟行为。,1,False,False,1610,14,,,1610,14,33.931,2085.033,,2120.522,
002.jpg,a75b89f5fe2569858610460300572f170a2fb930c7b1678cc5478033675e8b66,428287,100673,detected,True,1,1,IMAGE_ROW_2_RIGHT,0.95,检测到吸烟行为。,1,False,False,1610,14,,,1610,14,28.921,2045.464,,2075.73,
003.jpg,0b88552ddd98ebbc4c0a04043e1f7649fe6c6fd021008d00709f811940424ac3,463439,109335,detected,True,1,1,IMAGE_ROW_2_LEFT,0.95,检测到吸烟行为。,1,False,False,1610,14,,,1610,14,29.925,1993.417,,2024.787,
004.jpg,ce639c2ce31242af190170abf83c468d9a3613cd64d6360106ee892aa4e6e06f,511984,124191,detected,True,1,1,IMAGE_ROW_2_RIGHT,0.95,检测到吸烟行为。,1,False,False,1610,11,,,1610,11,29.995,2025.706,,2057.378,
005.jpg,c3903793964a0ec461e8ddd381ea2fab87cc79e417eb2bf0836618f279659230,453179,110487,detected,True,1,1,IMAGE_ROW_2_RIGHT,0.95,检测到吸烟行为。,1,False,False,1610,14,,,1610,14,29.302,2333.029,,2363.832,
006.jpg,f5dc6ed38d7739ea70aa5aa1f8880990aa4d5b98d0e5f553a70c60ea1b144089,494663,121422,detected,True,1,1,IMAGE_ROW_2_LEFT,0.95,检测到吸烟行为。,1,False,False,1610,14,,,1610,14,29.513,2329.703,,2360.947,
007.jpg,d4837324dde863bfc45734adbc931fd59ee06cc92f13393530834b6e9afb8f85,412692,96065,detected,True,1,1,IMAGE_ROW_2_RIGHT,0.95,检测到吸烟行为。,1,False,False,1610,14,,,1610,14,29.424,2320.968,,2351.698,
008.jpg,2a15b086af915af5b3bf804af949b43a9108d53d6749ec9ebd6cef7e96d45e42,415873,95950,detected,True,1,1,IMAGE_ROW_2_LEFT,0.95,检测到吸烟行为。,1,False,False,1610,14,,,1610,14,30.031,2319.014,,2350.459,
009.jpg,64350bc8fec3d80113c35643fdd7b7ef020df128a72a0e3b06a5176c759c3d16,449034,106678,detected,True,1,1,IMAGE_ROW_2_LEFT,0.95,检测到吸烟行为。,1,False,False,1610,14,,,1610,14,30.29,2360.244,,2392.157,
010.jpg,d5f83d5cc88f42ffcb52178cd385a0d7a6601e24c0eef9a7507b8f68be4e2a25,442429,106846,detected,True,1,1,IMAGE_ROW_2_LEFT,0.95,检测到吸烟行为。,1,False,False,1610,14,,,1610,14,29.267,2313.849,,2344.569,
011.jpg,14c59cf5e1e373b5b634a51cacc0b0939f1282711e7b4de951344ba13f653304,470265,115113,detected,True,1,1,IMAGE_ROW_2_RIGHT,0.95,检测到吸烟行为。,1,False,False,1610,14,,,1610,14,29.497,2362.452,,2393.472,
012.jpg,858bf2624b5351e071cd2b3700e9a589efeb1c95ba0c0fec3e61c39f78f6ae7b,460679,107712,detected,True,1,1,IMAGE_ROW_2_RIGHT,0.95,检测到吸烟行为。,1,False,False,1610,14,,,1610,14,30.537,2344.799,,2376.886,
013.jpg,6ff59bdda0977f53550b65fc98fdecff3cccf08e11e80ed0ca0d8952f61b8ffd,464170,109451,detected,True,1,1,IMAGE_ROW_2_RIGHT,0.95,检测到吸烟行为。,1,False,False,1610,14,,,1610,14,29.431,2342.534,,2373.453,
014.jpg,cfccdd74f0e7092beeba604d429388aeadde1c376eb287c2864365df9ad87a71,469606,114934,detected,True,1,1,IMAGE_ROW_2_RIGHT,0.95,检测到吸烟行为。,1,False,False,1610,14,,,1610,14,30.115,2693.278,,2724.944,
015.jpg,ed55b0fa148fba1b7a4fef3c71321aafecbe94e2ac140c0c867a75e236445787,390544,88430,detected,True,1,1,IMAGE_ROW_2_RIGHT,0.95,检测到吸烟行为。,1,False,False,1610,14,,,1610,14,55.505,2234.14,,2290.841,
016.jpg,e142ad5908f643fc94ab3e535bc5bb8a3a05dcfb0ba7cbb9a81bbce2b8f4d2da,416040,89812,detected,True,1,1,IMAGE_ROW_2_LEFT,0.95,检测到吸烟行为。,1,False,False,1610,14,,,1610,14,29.303,2211.354,,2241.925,
