sample_id,group_id,split,label,dataset,image,sha256,status,classification,predicted_label,abstained,decision_correct,self_confidence,status_probability_0,status_probability_1,status_probability_2,selected_status_probability,selected_status_logprob_margin,calibrated_decision_confidence,prompt_tokens,completion_tokens,preprocess_ms,request_ms,end_to_end_ms,failure_code
001-positive,001,calibration,1,passenger_smoking_100,001.jpg,7d94f1e1328e2b8cdb682a5f3bfb35957681ce12578c6cc7e1583edfc65e7300,1,detected,1,False,1,0.95,0.027849055795953006,0.9664930639931606,0.00565788021088642,0.9664930639931606,3.5468750596046448,,1610,14,36.252,2609.296,2648.341,
001-negative,001,calibration,0,passenger_unbelted_nonsmoking_100,001.jpg,dce74107544713558a7cc6f45bcaa3c0d9594dd1d218885106b7abb744cbf487,0,not_detected,0,False,1,1.0,0.9553157920968989,0.039430590244142374,0.005253617658958678,0.9553157920968989,3.1875000409781933,,1610,12,34.235,2256.404,2293.624,
002-positive,002,test,1,passenger_smoking_100,002.jpg,a75b89f5fe2569858610460300572f170a2fb930c7b1678cc5478033675e8b66,1,detected,1,False,1,0.95,0.012223121435024187,0.9862940456977386,0.0014828328672371663,0.9862940456977386,4.390625173225999,,1610,14,33.423,2461.387,2497.402,
002-negative,002,test,0,passenger_unbelted_nonsmoking_100,002.jpg,935790ad7741fcddec8eb1c088691b24384a9efa5a12300a328d09feffd7ef08,0,not_detected,0,False,1,0.99,0.9268314074585716,0.0611311521035975,0.01203744043783088,0.9268314074585716,2.718750089406967,,1610,11,32.84,2244.117,2279.344,
003-positive,003,calibration,1,passenger_smoking_100,003.jpg,0b88552ddd98ebbc4c0a04043e1f7649fe6c6fd021008d00709f811940424ac3,1,detected,1,False,1,0.95,0.00911308161859379,0.9895110488444528,0.0013758695369533382,0.9895110488444528,4.687500009313226,,1610,14,31.768,2523.418,2558.103,
003-negative,003,calibration,0,passenger_unbelted_nonsmoking_100,003.jpg,efb896dd22c4a05c7a6258d0608bcde2b1cbdd01e2035d3a2a4b0a902eda2bd2,0,not_detected,0,False,1,0.95,0.9115345137239085,0.05142526058764411,0.037040225688447455,0.9115345137239085,2.8749999552965164,,1610,14,34.384,2527.095,2564.164,
004-positive,004,calibration,1,passenger_smoking_100,004.jpg,ce639c2ce31242af190170abf83c468d9a3613cd64d6360106ee892aa4e6e06f,1,detected,1,False,1,0.95,0.0076836349177576094,0.9907553399651761,0.0015610251170664106,0.9907553399651761,4.859374890103936,,1610,11,32.369,2142.135,2177.557,
004-negative,004,calibration,0,passenger_unbelted_nonsmoking_100,004.jpg,b712e9b6660661cb768072b6be6466e936bee6334fdb0e1eb47347dd861c243c,0,not_detected,0,False,1,0.95,0.9321919718671374,0.05866913893261439,0.009138889200248223,0.9321919718671374,2.765624925494194,,1610,11,33.426,2200.478,2236.711,
005-positive,005,calibration,1,passenger_smoking_100,005.jpg,c3903793964a0ec461e8ddd381ea2fab87cc79e417eb2bf0836618f279659230,1,detected,1,False,1,0.95,0.027945248047899798,0.9698314412163217,0.0022233107357784426,0.9698314412163217,3.5468751154839993,,1610,14,32.475,2720.714,2756.169,
005-negative,005,calibration,0,passenger_unbelted_nonsmoking_100,005.jpg,5ff551ea0b268bf048e7eba272bb5910bac4418cce100b5a68b048fd1933486f,0,not_detected,0,False,1,0.95,0.8985078960048479,0.04836907150772787,0.053123032487424164,0.8985078960048479,2.8281249031424522,,1610,14,36.839,2432.04,2471.913,
006-positive,006,calibration,1,passenger_smoking_100,006.jpg,f5dc6ed38d7739ea70aa5aa1f8880990aa4d5b98d0e5f553a70c60ea1b144089,1,detected,1,False,1,0.95,0.13524891881025622,0.8547993981631604,0.009951683026583379,0.8547993981631604,1.8437498956918716,,1610,14,38.392,2544.235,2585.908,
006-negative,006,calibration,0,passenger_unbelted_nonsmoking_100,006.jpg,3cc8c835a340957d5995bc35f31e3ecd9a047a69a1ea632dc9bd1dc4e3b01c81,0,not_detected,0,False,1,1.0,0.9438197608595916,0.04019269389690389,0.015987545243504455,0.9438197608595916,3.1562499813735485,,1610,15,34.872,2550.541,2587.683,
007-positive,007,calibration,1,passenger_smoking_100,007.jpg,d4837324dde863bfc45734adbc931fd59ee06cc92f13393530834b6e9afb8f85,1,detected,1,False,1,0.95,0.08565687703048032,0.9066209231406652,0.007722199828854483,0.9066209231406652,2.3593749031424522,,1610,14,32.783,2566.007,2601.125,
007-negative,007,calibration,0,passenger_unbelted_nonsmoking_100,007.jpg,2d9eddd68fba02bc074b1ea98b34faef97c9a4a7773226924434cc7e080ac0fa,0,not_detected,0,False,1,0.95,0.9061726087243662,0.07918047303601256,0.014646918239621179,0.9061726087243662,2.437500089406967,,1610,14,33.037,2562.601,2598.583,
008-positive,008,calibration,1,passenger_smoking_100,008.jpg,2a15b086af915af5b3bf804af949b43a9108d53d6749ec9ebd6cef7e96d45e42,1,detected,1,False,1,0.95,0.013826094108354597,0.984548215333905,0.0016256905577403716,0.984548215333905,4.2656251871958375,,1610,14,33.451,2434.749,2470.902,
008-negative,008,calibration,0,passenger_unbelted_nonsmoking_100,008.jpg,d9ae7a3787b14aacb7f622e62959ee2400005f63629918e88bcf63643f7f4a89,0,not_detected,0,False,1,0.95,0.8991114967441631,0.0836303922514285,0.017258111004408435,0.8991114967441631,2.375000052154064,,1610,11,35.609,1942.104,1980.445,
009-positive,009,calibration,1,passenger_smoking_100,009.jpg,64350bc8fec3d80113c35643fdd7b7ef020df128a72a0e3b06a5176c759c3d16,1,detected,1,False,1,0.95,0.014473338245215244,0.9834415796877659,0.0020850820670187146,0.9834415796877659,4.218750020489097,,1610,14,34.565,2577.365,2614.75,
009-negative,009,calibration,0,passenger_unbelted_nonsmoking_100,009.jpg,47b1366003b4662976a7071218a203314afc4d3beada2aa3f4653dbd9015ba9b,0,not_detected,0,False,1,1.0,0.9300493176729312,0.05945606369558822,0.010494618631480586,0.9300493176729312,2.75,,1610,15,34.257,2608.714,2646.413,
010-positive,010,calibration,1,passenger_smoking_100,010.jpg,d5f83d5cc88f42ffcb52178cd385a0d7a6601e24c0eef9a7507b8f68be4e2a25,1,detected,1,False,1,0.95,0.03251649173305058,0.965235887098241,0.0022476211687083233,0.965235887098241,3.3906251154839993,,1610,14,34.291,2741.04,2778.174,
010-negative,010,calibration,0,passenger_unbelted_nonsmoking_100,010.jpg,0bbf13112f54a93900ab3b2450d02ae04af47575c65b58ffc8ef56e4019c69a9,0,not_detected,0,False,1,1.0,0.9115489527501802,0.07482449174468535,0.013626555505134415,0.9115489527501802,2.500000037252903,,1610,15,32.897,2517.637,2553.319,
011-positive,011,test,1,passenger_smoking_100,011.jpg,14c59cf5e1e373b5b634a51cacc0b0939f1282711e7b4de951344ba13f653304,1,detected,1,False,1,0.95,0.007448435254537537,0.990915360659398,0.0016362040860644833,0.990915360659398,4.890625145286322,,1610,14,32.676,2532.281,2567.999,
011-negative,011,test,0,passenger_unbelted_nonsmoking_100,011.jpg,afccdb76eae53d53160e6148819a3224559f8e9152b7bb51210d5f40dc14396a,0,not_detected,0,False,1,1.0,0.9430566824873166,0.04410734995503554,0.01283596755764786,0.9430566824873166,3.0624999552965164,,1610,15,47.808,2516.946,2567.676,
012-positive,012,calibration,1,passenger_smoking_100,012.jpg,858bf2624b5351e071cd2b3700e9a589efeb1c95ba0c0fec3e61c39f78f6ae7b,1,detected,1,False,1,0.95,0.03402624569204752,0.9637985291959659,0.0021752251119865453,0.9637985291959659,3.3437501192092896,,1610,14,34.748,2517.009,2554.52,
012-negative,012,calibration,0,passenger_unbelted_nonsmoking_100,012.jpg,c6a6ad023caf7ad23e5eb52fa8f8cadb41f5ffe8ce8062a456d549208ebc5a2b,0,not_detected,0,False,1,0.95,0.9075261547725126,0.07685899356955211,0.015614851657935245,0.9075261547725126,2.4687498956918716,,1610,14,34.05,2514.35,2551.0,
013-positive,013,calibration,1,passenger_smoking_100,013.jpg,6ff59bdda0977f53550b65fc98fdecff3cccf08e11e80ed0ca0d8952f61b8ffd,1,detected,1,False,1,0.95,0.010131753438556587,0.9861409827683805,0.003727263793063036,0.9861409827683805,4.578124932013452,,1610,14,34.083,2520.563,2557.547,
013-negative,013,calibration,0,passenger_unbelted_nonsmoking_100,013.jpg,cd88fa29dc864b6643d6a56be9ec34bbb737660f76ae2b38c35d6083ed974ebb,0,not_detected,0,False,1,0.95,0.9805361745682891,0.013986595813205493,0.005477229618505429,0.9805361745682891,4.250000109896064,,1610,11,34.349,2190.078,2227.179,
014-positive,014,calibration,1,passenger_smoking_100,014.jpg,cfccdd74f0e7092beeba604d429388aeadde1c376eb287c2864365df9ad87a71,1,detected,1,False,1,0.95,0.006479859181884538,0.992224087446431,0.0012960533716844251,0.992224087446431,5.031250197440386,,1610,14,34.158,2568.6,2605.711,
