sample_id,group_id,split,label,dataset,image,sha256,status,classification,predicted_label,abstained,decision_correct,self_confidence,status_probability_0,status_probability_1,status_probability_2,selected_status_probability,selected_status_logprob_margin,calibrated_decision_confidence,prompt_tokens,completion_tokens,preprocess_ms,request_ms,end_to_end_ms,failure_code
001-positive,001,calibration,1,passenger_smoking_100,001.jpg,7d94f1e1328e2b8cdb682a5f3bfb35957681ce12578c6cc7e1583edfc65e7300,1,detected,1,False,1,1.0,0.24280761158755776,0.7363050238887485,0.02088736452369366,0.7363050238887485,1.1093750596046448,,1610,12,38.553,1063.502,1104.342,
001-negative,001,calibration,0,passenger_unbelted_nonsmoking_100,001.jpg,dce74107544713558a7cc6f45bcaa3c0d9594dd1d218885106b7abb744cbf487,0,not_detected,0,False,1,1.0,0.8849454971397329,0.08231275216917333,0.03274175069109375,0.8849454971397329,2.375000014901161,,1610,12,24.942,1227.595,1254.972,
002-positive,002,test,1,passenger_smoking_100,002.jpg,a75b89f5fe2569858610460300572f170a2fb930c7b1678cc5478033675e8b66,1,detected,1,False,1,1.0,0.2806010224105961,0.6944942210396933,0.024904756549710628,0.6944942210396933,0.9062500298023224,,1610,12,33.676,1214.035,1249.947,
002-negative,002,test,0,passenger_unbelted_nonsmoking_100,002.jpg,935790ad7741fcddec8eb1c088691b24384a9efa5a12300a328d09feffd7ef08,0,not_detected,0,False,1,1.0,0.8697329966137007,0.09758134652744972,0.03268565685884959,0.8697329966137007,2.187499910593033,,1610,12,25.107,1205.432,1232.431,
003-positive,003,calibration,1,passenger_smoking_100,003.jpg,0b88552ddd98ebbc4c0a04043e1f7649fe6c6fd021008d00709f811940424ac3,1,detected,1,False,1,1.0,0.08722160335754384,0.8947792014537649,0.01799919518869123,0.8947792014537649,2.3281249403953552,,1610,12,30.317,1211.476,1243.995,
003-negative,003,calibration,0,passenger_unbelted_nonsmoking_100,003.jpg,efb896dd22c4a05c7a6258d0608bcde2b1cbdd01e2035d3a2a4b0a902eda2bd2,0,not_detected,0,False,1,1.0,0.9323839212153614,0.04499245276435492,0.022623626020283612,0.9323839212153614,3.0312499031424522,,1610,12,25.627,1217.428,1245.173,
004-positive,004,calibration,1,passenger_smoking_100,004.jpg,ce639c2ce31242af190170abf83c468d9a3613cd64d6360106ee892aa4e6e06f,1,detected,1,False,1,1.0,0.20333369630922016,0.76737330738185,0.029292996308929925,0.76737330738185,1.3281249403953552,,1610,12,33.712,1207.728,1244.04,
004-negative,004,calibration,0,passenger_unbelted_nonsmoking_100,004.jpg,b712e9b6660661cb768072b6be6466e936bee6334fdb0e1eb47347dd861c243c,0,not_detected,0,False,1,1.0,0.7611276930427351,0.1924432239999792,0.04642908295728564,0.7611276930427351,1.3749999701976776,,1610,12,24.724,1225.483,1252.443,
005-positive,005,calibration,1,passenger_smoking_100,005.jpg,c3903793964a0ec461e8ddd381ea2fab87cc79e417eb2bf0836618f279659230,1,detected,1,False,1,1.0,0.2965247029792431,0.6787517643383634,0.024723532682393502,0.6787517643383634,0.8281249403953552,,1610,12,32.299,1190.539,1225.173,
005-negative,005,calibration,0,passenger_unbelted_nonsmoking_100,005.jpg,5ff551ea0b268bf048e7eba272bb5910bac4418cce100b5a68b048fd1933486f,0,not_detected,0,False,1,1.0,0.9066546886010117,0.059800353363387404,0.03354495803560099,0.9066546886010117,2.718750089406967,,1610,12,25.698,1226.584,1254.706,
006-positive,006,calibration,1,passenger_smoking_100,006.jpg,f5dc6ed38d7739ea70aa5aa1f8880990aa4d5b98d0e5f553a70c60ea1b144089,1,detected,1,False,1,1.0,0.26295219369423245,0.7147782124765755,0.02226959382919205,0.7147782124765755,1.0000000596046448,,1610,12,28.247,1187.416,1218.052,
006-negative,006,calibration,0,passenger_unbelted_nonsmoking_100,006.jpg,3cc8c835a340957d5995bc35f31e3ecd9a047a69a1ea632dc9bd1dc4e3b01c81,0,not_detected,0,False,1,1.0,0.7738732795793212,0.18381102071976405,0.04231569970091478,0.7738732795793212,1.4374999701976776,,1610,12,25.053,1194.145,1221.228,
007-positive,007,calibration,1,passenger_smoking_100,007.jpg,d4837324dde863bfc45734adbc931fd59ee06cc92f13393530834b6e9afb8f85,1,detected,1,False,1,1.0,0.33788034517333015,0.6411842481609056,0.02093540666576431,0.6411842481609056,0.6406250298023224,,1610,12,30.908,1256.243,1289.148,
007-negative,007,calibration,0,passenger_unbelted_nonsmoking_100,007.jpg,2d9eddd68fba02bc074b1ea98b34faef97c9a4a7773226924434cc7e080ac0fa,0,not_detected,0,False,1,1.0,0.876211361824044,0.09380633323749256,0.02998230493846346,0.876211361824044,2.2343749701976776,,1610,12,25.896,1648.32,1676.496,
008-positive,008,calibration,1,passenger_smoking_100,008.jpg,2a15b086af915af5b3bf804af949b43a9108d53d6749ec9ebd6cef7e96d45e42,1,detected,1,False,1,1.0,0.18714695306359133,0.7879181258877019,0.02493492104870684,0.7879181258877019,1.4375000298023224,,1610,12,32.587,1187.701,1222.426,
008-negative,008,calibration,0,passenger_unbelted_nonsmoking_100,008.jpg,d9ae7a3787b14aacb7f622e62959ee2400005f63629918e88bcf63643f7f4a89,0,not_detected,0,False,1,1.0,0.8169414708463795,0.13976221478891937,0.043296314364701174,0.8169414708463795,1.7656249403953552,,1610,12,25.156,1227.888,1255.238,
009-positive,009,calibration,1,passenger_smoking_100,009.jpg,64350bc8fec3d80113c35643fdd7b7ef020df128a72a0e3b06a5176c759c3d16,1,detected,1,False,1,1.0,0.19202113518106295,0.783566117059251,0.02441274775968592,0.783566117059251,1.40625,,1610,12,31.687,1205.772,1239.649,
009-negative,009,calibration,0,passenger_unbelted_nonsmoking_100,009.jpg,47b1366003b4662976a7071218a203314afc4d3beada2aa3f4653dbd9015ba9b,0,not_detected,0,False,1,1.0,0.816763223987008,0.14193216206761344,0.04130461394537863,0.816763223987008,1.7500000298023224,,1610,12,25.68,1190.068,1218.335,
010-positive,010,calibration,1,passenger_smoking_100,010.jpg,d5f83d5cc88f42ffcb52178cd385a0d7a6601e24c0eef9a7507b8f68be4e2a25,1,detected,1,False,1,1.0,0.17768233571136044,0.7963169938157907,0.02600067047284884,0.7963169938157907,1.5000000149011612,,1610,12,31.464,1185.335,1218.985,
010-negative,010,calibration,0,passenger_unbelted_nonsmoking_100,010.jpg,0bbf13112f54a93900ab3b2450d02ae04af47575c65b58ffc8ef56e4019c69a9,0,not_detected,0,False,1,1.0,0.7945727068435587,0.16396935312908856,0.04145794002735262,0.7945727068435587,1.5781249552965164,,1610,12,24.952,1222.185,1249.365,
011-positive,011,test,1,passenger_smoking_100,011.jpg,14c59cf5e1e373b5b634a51cacc0b0939f1282711e7b4de951344ba13f653304,1,detected,1,False,1,1.0,0.20234162323947144,0.7756547434040161,0.02200363335651248,0.7756547434040161,1.3437500298023224,,1610,12,32.577,1225.844,1260.768,
011-negative,011,test,0,passenger_unbelted_nonsmoking_100,011.jpg,afccdb76eae53d53160e6148819a3224559f8e9152b7bb51210d5f40dc14396a,0,not_detected,0,False,1,1.0,0.9178733820540468,0.06054030678794672,0.02158631115800649,0.9178733820540468,2.7187500819563866,,1610,12,25.567,1260.374,1287.968,
012-positive,012,calibration,1,passenger_smoking_100,012.jpg,858bf2624b5351e071cd2b3700e9a589efeb1c95ba0c0fec3e61c39f78f6ae7b,1,detected,1,False,1,1.0,0.25246584106721603,0.7192082732257306,0.028325885707053446,0.7192082732257306,1.0468750298023224,,1610,12,34.233,1307.783,1344.365,
012-negative,012,calibration,0,passenger_unbelted_nonsmoking_100,012.jpg,c6a6ad023caf7ad23e5eb52fa8f8cadb41f5ffe8ce8062a456d549208ebc5a2b,0,not_detected,0,False,1,1.0,0.896568630682366,0.07593098791009946,0.027500381407534368,0.896568630682366,2.4687499701976776,,1610,12,27.353,1224.57,1254.189,
013-positive,013,calibration,1,passenger_smoking_100,013.jpg,6ff59bdda0977f53550b65fc98fdecff3cccf08e11e80ed0ca0d8952f61b8ffd,1,detected,1,False,1,1.0,0.24773068176831184,0.7281209435646556,0.02414837466703257,0.7281209435646556,1.0781249701976776,,1610,12,31.979,1185.346,1219.476,
