sample_id,group_id,split,label,dataset,image,sha256,status,classification,predicted_label,abstained,decision_correct,self_confidence,status_probability_0,status_probability_1,status_probability_2,selected_status_probability,selected_status_logprob_margin,calibrated_decision_confidence,prompt_tokens,completion_tokens,preprocess_ms,request_ms,end_to_end_ms,failure_code
001-positive,001,calibration,1,passenger_smoking_100,001.jpg,7d94f1e1328e2b8cdb682a5f3bfb35957681ce12578c6cc7e1583edfc65e7300,1,detected,1,False,1,1.0,0.19969157395925943,0.7775508285328291,0.02275759750791162,0.7775508285328291,1.3593749701976776,,1450,12,126.819,3005.82,3136.973,
001-negative,001,calibration,0,passenger_unbelted_nonsmoking_100,001.jpg,dce74107544713558a7cc6f45bcaa3c0d9594dd1d218885106b7abb744cbf487,0,not_detected,0,False,1,1.0,0.9080554756385665,0.06577931900906764,0.026165205352365835,0.9080554756385665,2.624999985098839,,1450,12,51.555,1484.361,1538.797,
002-positive,002,test,1,passenger_smoking_100,002.jpg,a75b89f5fe2569858610460300572f170a2fb930c7b1678cc5478033675e8b66,1,detected,1,False,1,1.0,0.2070644446560941,0.7693377207707986,0.023597834573107206,0.7693377207707986,1.3124999701976776,,1450,12,30.322,1525.318,1558.193,
002-negative,002,test,0,passenger_unbelted_nonsmoking_100,002.jpg,935790ad7741fcddec8eb1c088691b24384a9efa5a12300a328d09feffd7ef08,0,not_detected,0,False,1,1.0,0.8279006651164037,0.13515108444916413,0.03694825043443228,0.8279006651164037,1.8124998807907104,,1450,12,30.493,1542.507,1575.282,
003-positive,003,calibration,1,passenger_smoking_100,003.jpg,0b88552ddd98ebbc4c0a04043e1f7649fe6c6fd021008d00709f811940424ac3,1,detected,1,False,1,1.0,0.21175438804830055,0.762556890126521,0.025688721825178507,0.762556890126521,1.2812500596046448,,1450,12,29.57,1566.777,1598.986,
003-negative,003,calibration,0,passenger_unbelted_nonsmoking_100,003.jpg,efb896dd22c4a05c7a6258d0608bcde2b1cbdd01e2035d3a2a4b0a902eda2bd2,0,not_detected,0,False,1,1.0,0.9247890465562922,0.049783850598879124,0.025427102844828728,0.9247890465562922,2.9218750074505806,,1450,12,31.92,1689.831,1725.561,
004-positive,004,calibration,1,passenger_smoking_100,004.jpg,ce639c2ce31242af190170abf83c468d9a3613cd64d6360106ee892aa4e6e06f,1,detected,1,False,1,1.0,0.154131810042557,0.8203106304071132,0.025557559550329956,0.8203106304071132,1.6718749403953552,,1450,12,32.886,2030.063,2066.22,
004-negative,004,calibration,0,passenger_unbelted_nonsmoking_100,004.jpg,b712e9b6660661cb768072b6be6466e936bee6334fdb0e1eb47347dd861c243c,0,not_detected,0,False,1,1.0,0.8193716310680689,0.14462769035543466,0.03600067857649652,0.8193716310680689,1.7343749552965164,,1450,12,30.946,1637.303,1670.916,
005-positive,005,calibration,1,passenger_smoking_100,005.jpg,c3903793964a0ec461e8ddd381ea2fab87cc79e417eb2bf0836618f279659230,1,detected,1,False,1,1.0,0.3890595969541935,0.5840476298246307,0.026892773221175843,0.5840476298246307,0.40625,,1450,12,30.661,1628.187,1661.677,
005-negative,005,calibration,0,passenger_unbelted_nonsmoking_100,005.jpg,5ff551ea0b268bf048e7eba272bb5910bac4418cce100b5a68b048fd1933486f,0,not_detected,0,False,1,1.0,0.9214248150974136,0.05363335739109729,0.02494182751148914,0.9214248150974136,2.8437499701976776,,1450,12,30.657,1474.604,1508.166,
006-positive,006,calibration,1,passenger_smoking_100,006.jpg,f5dc6ed38d7739ea70aa5aa1f8880990aa4d5b98d0e5f553a70c60ea1b144089,1,detected,1,False,1,1.0,0.22517623073617143,0.749951376536943,0.024872392726885652,0.749951376536943,1.2031250298023224,,1450,12,30.987,1497.95,1531.95,
006-negative,006,calibration,0,passenger_unbelted_nonsmoking_100,006.jpg,3cc8c835a340957d5995bc35f31e3ecd9a047a69a1ea632dc9bd1dc4e3b01c81,0,not_detected,0,False,1,1.0,0.8391990232438283,0.12670010587603564,0.03410087088013601,0.8391990232438283,1.8906249701976776,,1450,12,30.774,1499.689,1532.87,
007-positive,007,calibration,1,passenger_smoking_100,007.jpg,d4837324dde863bfc45734adbc931fd59ee06cc92f13393530834b6e9afb8f85,1,detected,1,False,1,1.0,0.4306028718246029,0.5443330339291018,0.025064094246295333,0.5443330339291018,0.234375,,1450,12,30.728,1462.537,1495.677,
007-negative,007,calibration,0,passenger_unbelted_nonsmoking_100,007.jpg,2d9eddd68fba02bc074b1ea98b34faef97c9a4a7773226924434cc7e080ac0fa,0,not_detected,0,False,1,1.0,0.8731854450436568,0.09348238432619212,0.03333217063015105,0.8731854450436568,2.2343749403953552,,1450,12,66.283,1416.422,1485.182,
008-positive,008,calibration,1,passenger_smoking_100,008.jpg,2a15b086af915af5b3bf804af949b43a9108d53d6749ec9ebd6cef7e96d45e42,1,detected,1,False,1,1.0,0.20494491982053095,0.7734540471275356,0.021601033051933467,0.7734540471275356,1.328125,,1450,12,41.905,1503.494,1548.126,
008-negative,008,calibration,0,passenger_unbelted_nonsmoking_100,008.jpg,d9ae7a3787b14aacb7f622e62959ee2400005f63629918e88bcf63643f7f4a89,0,not_detected,0,False,1,1.0,0.8009359772408885,0.15526852852033926,0.0437954942387722,0.8009359772408885,1.6406249552965164,,1450,12,94.908,1505.7,1603.239,
009-positive,009,calibration,1,passenger_smoking_100,009.jpg,64350bc8fec3d80113c35643fdd7b7ef020df128a72a0e3b06a5176c759c3d16,1,detected,1,False,1,1.0,0.15490967125595073,0.8244506127414554,0.020639716002593848,0.8244506127414554,1.6718750596046448,,1450,12,84.423,1563.5,1650.454,
009-negative,009,calibration,0,passenger_unbelted_nonsmoking_100,009.jpg,47b1366003b4662976a7071218a203314afc4d3beada2aa3f4653dbd9015ba9b,0,not_detected,0,False,1,1.0,0.8639739688795057,0.10646247071889542,0.02956356040159878,0.8639739688795057,2.0937501043081284,,1450,12,32.638,1515.756,1551.677,
010-positive,010,calibration,1,passenger_smoking_100,010.jpg,d5f83d5cc88f42ffcb52178cd385a0d7a6601e24c0eef9a7507b8f68be4e2a25,1,detected,1,False,1,1.0,0.2838750662378832,0.691704771469468,0.0244201622926488,0.691704771469468,0.890625,,1450,12,32.004,1449.081,1483.678,
010-negative,010,calibration,0,passenger_unbelted_nonsmoking_100,010.jpg,0bbf13112f54a93900ab3b2450d02ae04af47575c65b58ffc8ef56e4019c69a9,0,not_detected,0,False,1,1.0,0.8011101038819859,0.16023209866316032,0.03865779745485376,0.8011101038819859,1.6093750149011612,,1450,12,31.475,1579.057,1613.255,
011-positive,011,test,1,passenger_smoking_100,011.jpg,14c59cf5e1e373b5b634a51cacc0b0939f1282711e7b4de951344ba13f653304,1,detected,1,False,1,1.0,0.18026000332914274,0.7953444580640749,0.02439553860678228,0.7953444580640749,1.4843750298023224,,1450,12,32.053,1554.588,1589.529,
011-negative,011,test,0,passenger_unbelted_nonsmoking_100,011.jpg,afccdb76eae53d53160e6148819a3224559f8e9152b7bb51210d5f40dc14396a,0,not_detected,0,False,1,1.0,0.9105237947090864,0.06595811509123668,0.023518090199676833,0.9105237947090864,2.625000111758709,,1450,12,31.83,1569.24,1603.583,
012-positive,012,calibration,1,passenger_smoking_100,012.jpg,858bf2624b5351e071cd2b3700e9a589efeb1c95ba0c0fec3e61c39f78f6ae7b,1,detected,1,False,1,1.0,0.2311041693400261,0.746013419166527,0.02288241149344687,0.746013419166527,1.1718750298023224,,1450,12,31.762,1523.302,1557.696,
012-negative,012,calibration,0,passenger_unbelted_nonsmoking_100,012.jpg,c6a6ad023caf7ad23e5eb52fa8f8cadb41f5ffe8ce8062a456d549208ebc5a2b,0,not_detected,0,False,1,1.0,0.9106315079285393,0.06393636369490811,0.025432128376552655,0.9106315079285393,2.656250052154064,,1450,12,31.006,1391.365,1424.959,
013-positive,013,calibration,1,passenger_smoking_100,013.jpg,6ff59bdda0977f53550b65fc98fdecff3cccf08e11e80ed0ca0d8952f61b8ffd,1,detected,1,False,1,1.0,0.27701086862988017,0.6964052055049164,0.02658392586520348,0.6964052055049164,0.9218749403953552,,1450,12,29.541,1435.148,1467.241,
013-negative,013,calibration,0,passenger_unbelted_nonsmoking_100,013.jpg,cd88fa29dc864b6643d6a56be9ec34bbb737660f76ae2b38c35d6083ed974ebb,0,not_detected,0,False,1,1.0,0.9336636992637484,0.045054202442155,0.021282098294096566,0.9336636992637484,3.0312500447034836,,1450,12,31.3,1474.97,1508.998,
014-positive,014,calibration,1,passenger_smoking_100,014.jpg,cfccdd74f0e7092beeba604d429388aeadde1c376eb287c2864365df9ad87a71,1,detected,1,False,1,1.0,0.2799158583529298,0.6927984030131046,0.027285738633965547,0.6927984030131046,0.90625,,1450,12,32.143,1561.799,1596.764,
014-negative,014,calibration,0,passenger_unbelted_nonsmoking_100,014.jpg,626b12dd270baffb6a75513de2454047cbd3886993744de05924842dd8915e0e,0,not_detected,0,False,1,1.0,0.8966140739533109,0.07834527282719729,0.02504065321949186,0.8966140739533109,2.4374998956918716,,1450,12,31.169,1482.663,1516.074,
015-positive,015,calibration,1,passenger_smoking_100,015.jpg,ed55b0fa148fba1b7a4fef3c71321aafecbe94e2ac140c0c867a75e236445787,1,detected,1,False,1,1.0,0.16955276598642433,0.8088910188392378,0.021556215174337968,0.8088910188392378,1.5625000149011612,,1450,12,31.446,1548.445,1582.042,
