sample_id,group_id,split,label,dataset,image,sha256,status,classification,predicted_label,abstained,decision_correct,self_confidence,status_probability_0,status_probability_1,status_probability_2,selected_status_probability,selected_status_logprob_margin,calibrated_decision_confidence,prompt_tokens,completion_tokens,preprocess_ms,request_ms,end_to_end_ms,failure_code
001-positive,001,calibration,1,passenger_smoking_100,001.jpg,7d94f1e1328e2b8cdb682a5f3bfb35957681ce12578c6cc7e1583edfc65e7300,1,detected,1,False,1,1.0,0.19969156879009575,0.7775508315781726,0.02275759963173155,0.7775508315781726,1.359375,,1450,11,35.097,2393.107,2430.81,
001-negative,001,calibration,0,passenger_unbelted_nonsmoking_100,001.jpg,dce74107544713558a7cc6f45bcaa3c0d9594dd1d218885106b7abb744cbf487,0,not_detected,0,False,1,1.0,0.909351734546655,0.06485194428147313,0.025796321171871972,0.909351734546655,2.640625074505806,,1450,11,29.629,1219.359,1251.829,
002-positive,002,test,1,passenger_smoking_100,002.jpg,a75b89f5fe2569858610460300572f170a2fb930c7b1678cc5478033675e8b66,1,detected,1,False,1,1.0,0.204585824170144,0.7720988112905469,0.02331536453930898,0.7720988112905469,1.3281249701976776,,1450,11,28.957,1217.981,1249.404,
002-negative,002,test,0,passenger_unbelted_nonsmoking_100,002.jpg,935790ad7741fcddec8eb1c088691b24384a9efa5a12300a328d09feffd7ef08,0,not_detected,0,False,1,1.0,0.8279006948402865,0.13515106110674377,0.03694824405296966,0.8279006948402865,1.8125000894069672,,1450,11,28.879,1218.98,1250.064,
003-positive,003,calibration,1,passenger_smoking_100,003.jpg,0b88552ddd98ebbc4c0a04043e1f7649fe6c6fd021008d00709f811940424ac3,1,detected,1,False,1,1.0,0.2117543983214096,0.7625568816694767,0.025688720009113788,0.7625568816694767,1.28125,,1450,11,28.178,1223.383,1254.323,
003-negative,003,calibration,0,passenger_unbelted_nonsmoking_100,003.jpg,efb896dd22c4a05c7a6258d0608bcde2b1cbdd01e2035d3a2a4b0a902eda2bd2,0,not_detected,0,False,1,1.0,0.9247890377465573,0.04978385643024409,0.025427105823198518,0.9247890377465573,2.9218748807907104,,1450,11,29.737,1214.981,1247.94,
004-positive,004,calibration,1,passenger_smoking_100,004.jpg,ce639c2ce31242af190170abf83c468d9a3613cd64d6360106ee892aa4e6e06f,1,detected,1,False,1,1.0,0.15419290451105527,0.8206357957752732,0.02517129971367149,0.8206357957752732,1.6718749552965164,,1450,11,30.112,1236.636,1269.694,
004-negative,004,calibration,0,passenger_unbelted_nonsmoking_100,004.jpg,b712e9b6660661cb768072b6be6466e936bee6334fdb0e1eb47347dd861c243c,0,not_detected,0,False,1,1.0,0.8198292174174415,0.14470845483479572,0.03546232774776272,0.8198292174174415,1.7343749850988388,,1450,11,30.047,1234.654,1267.395,
005-positive,005,calibration,1,passenger_smoking_100,005.jpg,c3903793964a0ec461e8ddd381ea2fab87cc79e417eb2bf0836618f279659230,1,detected,1,False,1,1.0,0.3890595969541935,0.5840476298246307,0.026892773221175843,0.5840476298246307,0.40625,,1450,11,29.468,1219.133,1251.316,
005-negative,005,calibration,0,passenger_unbelted_nonsmoking_100,005.jpg,5ff551ea0b268bf048e7eba272bb5910bac4418cce100b5a68b048fd1933486f,0,not_detected,0,False,1,1.0,0.9214248102425396,0.053633360704906693,0.024941829052553627,0.9214248102425396,2.8437499031424522,,1450,11,29.797,1211.393,1244.07,
006-positive,006,calibration,1,passenger_smoking_100,006.jpg,f5dc6ed38d7739ea70aa5aa1f8880990aa4d5b98d0e5f553a70c60ea1b144089,1,detected,1,False,1,1.0,0.22517623576892615,0.749951370948283,0.024872393282790912,0.749951370948283,1.203125,,1450,11,29.603,1211.297,1243.816,
006-negative,006,calibration,0,passenger_unbelted_nonsmoking_100,006.jpg,3cc8c835a340957d5995bc35f31e3ecd9a047a69a1ea632dc9bd1dc4e3b01c81,0,not_detected,0,False,1,1.0,0.8396429499294095,0.126767109893233,0.03358994017735763,0.8396429499294095,1.8906251192092896,,1450,11,29.3,1205.752,1237.447,
007-positive,007,calibration,1,passenger_smoking_100,007.jpg,d4837324dde863bfc45734adbc931fd59ee06cc92f13393530834b6e9afb8f85,1,detected,1,False,1,1.0,0.4344379541863887,0.5406667695617263,0.024895276251884986,0.5406667695617263,0.21875,,1450,11,30.596,1202.684,1235.65,
007-negative,007,calibration,0,passenger_unbelted_nonsmoking_100,007.jpg,2d9eddd68fba02bc074b1ea98b34faef97c9a4a7773226924434cc7e080ac0fa,0,not_detected,0,False,1,1.0,0.8719019008478852,0.09481492881832723,0.033283170333787575,0.8719019008478852,2.2187500447034836,,1450,11,29.388,1186.228,1218.243,
008-positive,008,calibration,1,passenger_smoking_100,008.jpg,2a15b086af915af5b3bf804af949b43a9108d53d6749ec9ebd6cef7e96d45e42,1,detected,1,False,1,1.0,0.2075026402504826,0.770965814866811,0.021531544882706363,0.770965814866811,1.3124999701976776,,1450,11,28.956,1177.556,1208.728,
008-negative,008,calibration,0,passenger_unbelted_nonsmoking_100,008.jpg,d9ae7a3787b14aacb7f622e62959ee2400005f63629918e88bcf63643f7f4a89,0,not_detected,0,False,1,1.0,0.8009359706835334,0.15526852956281934,0.043795499753647264,0.8009359706835334,1.6406249403953552,,1450,11,29.493,1193.552,1225.607,
009-positive,009,calibration,1,passenger_smoking_100,009.jpg,64350bc8fec3d80113c35643fdd7b7ef020df128a72a0e3b06a5176c759c3d16,1,detected,1,False,1,1.0,0.15490967848723342,0.8244506020862514,0.020639719426515157,0.8244506020862514,1.671875,,1450,11,29.809,1176.249,1208.531,
009-negative,009,calibration,0,passenger_unbelted_nonsmoking_100,009.jpg,47b1366003b4662976a7071218a203314afc4d3beada2aa3f4653dbd9015ba9b,0,not_detected,0,False,1,1.0,0.863973965377049,0.10646247346013701,0.02956356116281408,0.863973965377049,2.093750074505806,,1450,11,30.238,1190.322,1223.624,
010-positive,010,calibration,1,passenger_smoking_100,010.jpg,d5f83d5cc88f42ffcb52178cd385a0d7a6601e24c0eef9a7507b8f68be4e2a25,1,detected,1,False,1,1.0,0.2838750712634082,0.6917047631005152,0.024420165636076636,0.6917047631005152,0.8906249701976776,,1450,11,29.097,1184.03,1215.695,
010-negative,010,calibration,0,passenger_unbelted_nonsmoking_100,010.jpg,0bbf13112f54a93900ab3b2450d02ae04af47575c65b58ffc8ef56e4019c69a9,0,not_detected,0,False,1,1.0,0.8011101062562282,0.16023209675039435,0.03865779699337743,0.8011101062562282,1.6093750298023224,,1450,11,29.291,1181.329,1213.264,
011-positive,011,test,1,passenger_smoking_100,011.jpg,14c59cf5e1e373b5b634a51cacc0b0939f1282711e7b4de951344ba13f653304,1,detected,1,False,1,1.0,0.18026001187458898,0.7953444483621284,0.024395539763282667,0.7953444483621284,1.4843749701976776,,1450,11,29.283,1190.78,1222.7,
011-negative,011,test,0,passenger_unbelted_nonsmoking_100,011.jpg,afccdb76eae53d53160e6148819a3224559f8e9152b7bb51210d5f40dc14396a,0,not_detected,0,False,1,1.0,0.9117886111011949,0.06502574536356735,0.02318564353523768,0.9117886111011949,2.6406249031424522,,1450,11,29.914,1184.471,1216.759,
012-positive,012,calibration,1,passenger_smoking_100,012.jpg,858bf2624b5351e071cd2b3700e9a589efeb1c95ba0c0fec3e61c39f78f6ae7b,1,detected,1,False,1,1.0,0.2338923112320718,0.7433082499997045,0.02279943876822382,0.7433082499997045,1.1562500298023224,,1450,11,29.598,1098.774,1130.968,
012-negative,012,calibration,0,passenger_unbelted_nonsmoking_100,012.jpg,c6a6ad023caf7ad23e5eb52fa8f8cadb41f5ffe8ce8062a456d549208ebc5a2b,0,not_detected,0,False,1,1.0,0.9093517228776147,0.06485195262978459,0.02579632449260084,0.9093517228776147,2.6406249329447746,,1450,11,26.919,1078.363,1107.473,
013-positive,013,calibration,1,passenger_smoking_100,013.jpg,6ff59bdda0977f53550b65fc98fdecff3cccf08e11e80ed0ca0d8952f61b8ffd,1,detected,1,False,1,1.0,0.2768949274805752,0.6961138124882764,0.02699126003114828,0.6961138124882764,0.9218750596046448,,1450,11,27.134,1141.007,1170.533,
013-negative,013,calibration,0,passenger_unbelted_nonsmoking_100,013.jpg,cd88fa29dc864b6643d6a56be9ec34bbb737660f76ae2b38c35d6083ed974ebb,0,not_detected,0,False,1,1.0,0.9333508855604367,0.045039112227524346,0.02161000221203897,0.9333508855604367,3.0312499403953552,,1450,11,29.699,1197.309,1229.521,
014-positive,014,calibration,1,passenger_smoking_100,014.jpg,cfccdd74f0e7092beeba604d429388aeadde1c376eb287c2864365df9ad87a71,1,detected,1,False,1,1.0,0.2797956411882626,0.6925008420348621,0.027703516776875315,0.6925008420348621,0.9062499701976776,,1450,11,30.207,1198.819,1231.779,
014-negative,014,calibration,0,passenger_unbelted_nonsmoking_100,014.jpg,626b12dd270baffb6a75513de2454047cbd3886993744de05924842dd8915e0e,0,not_detected,0,False,1,1.0,0.8955092471415135,0.07948095936054896,0.025009793497937506,0.8955092471415135,2.4218750596046448,,1450,11,29.089,1215.532,1246.888,
015-positive,015,calibration,1,passenger_smoking_100,015.jpg,ed55b0fa148fba1b7a4fef3c71321aafecbe94e2ac140c0c867a75e236445787,1,detected,1,False,1,1.0,0.16736403915964726,0.8110229321027884,0.021613028737564408,0.8110229321027884,1.5781250149011612,,1450,11,29.406,1201.053,1232.579,
015-negative,015,calibration,0,passenger_unbelted_nonsmoking_100,015.jpg,bb18331668b258ae39b970eea783bc7bf9c4075d70f3ddb2d767727edd63477c,0,not_detected,0,False,1,1.0,0.8354892787168527,0.12225910513139954,0.04225161615174781,0.8354892787168527,1.9218749105930328,,1450,11,29.661,1220.658,1252.745,
016-positive,016,calibration,1,passenger_smoking_100,016.jpg,e142ad5908f643fc94ab3e535bc5bb8a3a05dcfb0ba7cbb9a81bbce2b8f4d2da,1,detected,1,False,1,1.0,0.3204112254281339,0.6574411473085539,0.022147627263312274,0.6574411473085539,0.71875,,1450,11,29.156,1211.463,1242.769,
016-negative,016,calibration,0,passenger_unbelted_nonsmoking_100,016.jpg,1a81153012fda72b1eacc623e276842b98c6418557be5dcac13f42538b010c81,0,not_detected,0,False,1,1.0,0.8342464142712113,0.12793582738827722,0.037817758340511515,0.8342464142712113,1.8750000298023224,,1450,11,31.396,1204.2,1238.362,
017-positive,017,test,1,passenger_smoking_100,017.jpg,16bd427affab58a78d1801499090d97b8a75b975927f06a8da6fb3d8e2ba9343,1,detected,1,False,1,1.0,0.27250044506928695,0.7068123529475926,0.020687201983120438,0.7068123529475926,0.9531249701976776,,1450,11,29.779,1212.606,1245.186,
017-negative,017,test,0,passenger_unbelted_nonsmoking_100,017.jpg,16fcee42e083bc6110f4797e8a86711ad7e4165bbf28d2e2315a879ded974125,0,not_detected,0,False,1,1.0,0.8895147351153386,0.08404068884574067,0.026444576038920586,0.8895147351153386,2.359375,,1450,11,29.647,1186.108,1218.435,
018-positive,018,calibration,1,passenger_smoking_100,018.jpg,b1adf1587be1cf07290908b39a43acd3127a77fa28c159ec8ab49be84b816287,1,detected,1,False,1,1.0,0.1736325691904392,0.8028688178790719,0.023498612930488837,0.8028688178790719,1.5312499403953552,,1450,11,29.264,1181.473,1213.021,
018-negative,018,calibration,0,passenger_unbelted_nonsmoking_100,018.jpg,9a78886fdbf30a31838f2d5a9583705018cbec2698f468a45ef51d4cf1af6fa5,0,not_detected,0,False,1,1.0,0.8365768094814441,0.12241822234386221,0.0410049681746937,0.8365768094814441,1.9218751043081284,,1450,11,29.511,1171.203,1203.18,
019-positive,019,calibration,1,passenger_smoking_100,019.jpg,ddcb3c12d738b897e327032c7de2b460e9d24f94b6e20130c43df1697be26f3d,1,detected,1,False,1,1.0,0.20182834522254006,0.7736871014863635,0.024484553291096316,0.7736871014863635,1.3437499701976776,,1450,11,30.333,1170.039,1202.962,
019-negative,019,calibration,0,passenger_unbelted_nonsmoking_100,019.jpg,6232b16deb96192cdfb5d55699e0e4126e5c9507d46bf74599bd9d7fb93973d4,0,not_detected,0,False,1,1.0,0.8128012610489239,0.15035312183656038,0.03684561711451574,0.8128012610489239,1.6874999552965164,,1450,11,29.199,1165.134,1196.705,
020-positive,020,test,1,passenger_smoking_100,020.jpg,15d4a5c2ad07cd0b024621b3cd80ce1090a17427bb4b0e0754bac468e7ea0e76,1,detected,1,False,1,1.0,0.2702073552677099,0.7008645098547717,0.028928134877518462,0.7008645098547717,0.9531249403953552,,1450,11,29.651,1176.78,1209.408,
020-negative,020,test,0,passenger_unbelted_nonsmoking_100,020.jpg,24c185290a222428bbe3383987d1486b25aa22d0dd5c06a47adef07129b519c3,0,not_detected,0,False,1,1.0,0.8557677010906763,0.11402000521924742,0.030212293690076247,0.8557677010906763,2.0156250447034836,,1450,11,29.391,1166.06,1198.555,
021-positive,021,calibration,1,passenger_smoking_100,021.jpg,e5b46543f09a828e18993b22f1a4ced2573625a352ae9e3f884c41d77a2a3fb6,1,detected,1,False,1,1.0,0.2307636161224553,0.7449140776811461,0.02432230619639852,0.7449140776811461,1.171875,,1450,11,29.205,1383.782,1415.286,
021-negative,021,calibration,0,passenger_unbelted_nonsmoking_100,021.jpg,b97e9bfd6a503ec8e65c221ab147f230951626538667e0c3f4276b748ee8b9d7,0,not_detected,0,False,1,1.0,0.910533693488602,0.0680526044405213,0.021413702070876808,0.910533693488602,2.5937499031424522,,1450,11,30.019,1341.797,1374.766,
022-positive,022,calibration,1,passenger_smoking_100,022.jpg,903f186b8dea99845f2ab63da20cac16f010fb340c66813e3acb961f72fccb2d,1,detected,1,False,1,1.0,0.20956401436983121,0.7665532907919075,0.023882694838261286,0.7665532907919075,1.2968749701976776,,1450,11,29.965,1303.068,1336.159,
022-negative,022,calibration,0,passenger_unbelted_nonsmoking_100,022.jpg,d179025cd68176c0e0b55b8b693fba9c8dd9fe2946f22f957e01364837c73950,0,not_detected,0,False,1,1.0,0.8839813732588419,0.08890433615131231,0.02711429058984595,0.8839813732588419,2.296875074505806,,1450,11,29.109,1315.095,1346.719,
023-positive,023,test,1,passenger_smoking_100,023.jpg,2c1ec8d6ea9ce27eb581c8b8ea26c74205458986383f7fdc489f0a6bb168afe3,1,detected,1,False,1,1.0,0.14078381234126663,0.8358719431018121,0.023344244556921367,0.8358719431018121,1.7812499552965164,,1450,11,29.18,1291.634,1322.847,
023-negative,023,test,0,passenger_unbelted_nonsmoking_100,023.jpg,983f0c47fc3e567d71ad28db4d41d6919fb7393a597d7f5c68bc90fd1e1be205,0,not_detected,0,False,1,1.0,0.8706085150518339,0.09767957116042768,0.03171191378773834,0.8706085150518339,2.1874999701976776,,1450,11,29.635,1908.117,1940.21,
024-positive,024,calibration,1,passenger_smoking_100,024.jpg,eaa6bb319945f4874298f2ab4575c68da9d4485b5313e16a4961d3b6c759a2b7,1,detected,1,False,1,1.0,0.2290685280448482,0.7394422222653907,0.03148924968976113,0.7394422222653907,1.1718749403953552,,1450,11,29.317,1722.672,1754.891,
024-negative,024,calibration,0,passenger_unbelted_nonsmoking_100,024.jpg,7ca930dcf676b7619ec28a1b434d1906fc0bdff1cb94a53547ccdba87b5afb6f,0,not_detected,0,False,1,1.0,0.888702943646448,0.08528622677790669,0.026010829575645267,0.888702943646448,2.3437500596046448,,1450,11,29.92,1344.653,1377.083,
025-positive,025,calibration,1,passenger_smoking_100,025.jpg,95ec6b3d9f59d36eeb09452173f1eefdb6ad869b4232cf35a47c07981c854285,1,detected,1,False,1,1.0,0.2837659466012632,0.6914388642731137,0.02479518912562298,0.6914388642731137,0.8906249701976776,,1450,11,29.749,1408.262,1440.866,
025-negative,025,calibration,0,passenger_unbelted_nonsmoking_100,025.jpg,c170cce2fac9d1a20377d8238eb877da4d247482debd31cff3e920dccf12244c,0,not_detected,0,False,1,1.0,0.9003548562411517,0.06835153205559497,0.0312936117032533,0.9003548562411517,2.5781249925494194,,1450,11,29.95,1224.187,1256.879,
026-positive,026,calibration,1,passenger_smoking_100,026.jpg,6f54e50f6c70aacc7b09300064a8d1c35ce048857a5e38ce61bfec4b19b476ca,1,detected,1,False,1,1.0,0.27701085050435903,0.69640522220084,0.02658392729480093,0.69640522220084,0.9218750298023224,,1450,11,27.62,1234.45,1264.349,
026-negative,026,calibration,0,passenger_unbelted_nonsmoking_100,026.jpg,5786fe56ca1840eac8e2493e810611a4ed4ae6339a45c7fa31019bbe8cb89f46,0,not_detected,0,False,1,1.0,0.911416507003862,0.06106109927671214,0.027522393719425855,0.911416507003862,2.703125,,1450,11,27.794,1216.758,1246.795,
027-positive,027,test,1,passenger_smoking_100,027.jpg,6603819ea84eca6f157f9ed3c43092309cff19d80c76bec19020d6de79ad5f44,1,detected,1,False,1,1.0,0.16310933626067295,0.8154953748904441,0.021395288848882973,0.8154953748904441,1.609375,,1450,11,26.945,1515.709,1544.72,
027-negative,027,test,0,passenger_unbelted_nonsmoking_100,027.jpg,36e2000f65187b8b28a87b85732fa78a94c4689b79cc81311f297ff09331ee9c,0,not_detected,0,False,1,1.0,0.846165387283579,0.12577125291207997,0.02806335980434107,0.846165387283579,1.9062500298023224,,1450,11,29.37,1341.36,1373.156,
028-positive,028,test,1,passenger_smoking_100,028.jpg,d2bc90a413cad89c2a38c340a571c69dae06dbda03119a82991ba2e203fb3b7e,1,detected,1,False,1,1.0,0.23560002617487588,0.7371272912518586,0.02727268257326542,0.7371272912518586,1.1406250298023224,,1450,11,30.439,1333.94,1367.107,
028-negative,028,test,0,passenger_unbelted_nonsmoking_100,028.jpg,879713f04b91364023b47301f272941cf37afdf94a1ca84aeac5690139d75712,0,not_detected,0,False,1,1.0,0.9170679153646659,0.05771727471433959,0.02521480992099443,0.9170679153646659,2.765625014901161,,1450,11,29.17,1353.789,1385.553,
029-positive,029,calibration,1,passenger_smoking_100,029.jpg,e3208bf47f8fa56e396b277e7882d95d2ed2012c1ef3520bf8367da277621711,1,detected,1,False,1,1.0,0.10132847626540732,0.8753443839580537,0.02332713977653903,0.8753443839580537,2.156249910593033,,1450,11,29.201,1336.445,1368.143,
029-negative,029,calibration,0,passenger_unbelted_nonsmoking_100,029.jpg,fc2de00e45ae9ebb4e5659c6f9d565b6448dc4e399101fe8c7c11d0dd5c16f74,0,not_detected,0,False,1,1.0,0.8943897819883018,0.08063168671736066,0.02497853129433754,0.8943897819883018,2.4062499701976776,,1450,11,29.404,1354.909,1387.218,
030-positive,030,calibration,1,passenger_smoking_100,030.jpg,fbc245f4b01f8bf5881f3e4176ad619dbbac0a24cc8bbdbff3f6615a6f7c1b62,1,detected,1,False,1,1.0,0.28921367825897204,0.6830313277941586,0.02775499394686927,0.6830313277941586,0.8593749403953552,,1450,11,29.998,1401.357,1434.206,
030-negative,030,calibration,0,passenger_unbelted_nonsmoking_100,030.jpg,736d8a363dcdd41fbca5cb45f012f72232aa8388f28bee2de72f4c085ef771b1,0,not_detected,0,False,1,1.0,0.9197930869034727,0.057888794625520414,0.02231811847100689,0.9197930869034727,2.7656249031424522,,1450,11,28.981,1346.39,1377.655,
031-positive,031,calibration,1,passenger_smoking_100,031.jpg,fcc3c1a2dde5b41c229c3de12270e8fa2d03f2545830c5e5c7e39c2e380c3166,1,detected,1,False,1,1.0,0.10409362479320337,0.8715652885230781,0.024341086683718496,0.8715652885230781,2.1250000447034836,,1450,11,29.259,1347.529,1379.146,
031-negative,031,calibration,0,passenger_unbelted_nonsmoking_100,031.jpg,6389502b6f77eadd41742ebc58530b9dc0d0d556b6995218204ac0ce67ace30e,0,not_detected,0,False,1,1.0,0.7610235301287873,0.20805226188375073,0.03092420798746196,0.7610235301287873,1.2968749701976776,,1450,11,29.452,1320.814,1352.765,
032-positive,032,calibration,1,passenger_smoking_100,032.jpg,947ee77f73e89266ddc7f4cd161c444711ba153891961598f3b07806883ff08a,1,detected,1,False,1,1.0,0.2749543815878199,0.70212056842122,0.022925049990960154,0.70212056842122,0.9374999403953552,,1450,11,29.788,1354.835,1387.023,
032-negative,032,calibration,0,passenger_unbelted_nonsmoking_100,032.jpg,32f158cb45aa40fc84d5eb9b5e6222d3f84cd58071091ad6b500725d88fbdb21,0,not_detected,0,False,1,1.0,0.8915857293101148,0.0779058869924104,0.030508383697474755,0.8915857293101148,2.437500074505806,,1450,11,29.909,1316.117,1348.97,
033-positive,033,calibration,1,passenger_smoking_100,033.jpg,cfbcdf0d6109b153b028aba0a113d35256e3e7a5980e95240723750136b5da27,1,detected,1,False,1,1.0,0.17219921926327614,0.8087800959859281,0.01902068475079571,0.8087800959859281,1.546875,,1450,11,29.206,1411.538,1443.024,
033-negative,033,calibration,0,passenger_unbelted_nonsmoking_100,033.jpg,f9676c07af24dd0745e13113136be4b778bda90fb8e215bb1234871202c32d36,0,not_detected,0,False,1,1.0,0.8915857192276263,0.07790589423763003,0.030508386534743533,0.8915857192276263,2.4374999701976776,,1450,11,29.475,1410.865,1442.673,
034-positive,034,test,1,passenger_smoking_100,034.jpg,7ca225d2b800d6e9dd3c1c6173ce13e6d6a82b180ffa9419804b39c552cda907,1,detected,1,False,1,1.0,0.1807167791547899,0.7973597881757029,0.02192343266950719,0.7973597881757029,1.4843749552965164,,1450,11,31.738,1539.122,1573.533,
034-negative,034,test,0,passenger_unbelted_nonsmoking_100,034.jpg,13aae1bc2f1dbc389df0a5bdcc6bdafb6983af5798bccbe3de7262249157539a,0,not_detected,0,False,1,1.0,0.799366586881473,0.1649586114855731,0.03567480163295403,0.799366586881473,1.5781250447034836,,1450,11,29.237,1342.061,1373.805,
035-positive,035,calibration,1,passenger_smoking_100,035.jpg,3d9a6ef2d05571a79324ada34ef4ac4f82257c7de522d3a2e256e045fbc1f916,1,detected,1,False,1,1.0,0.10889291505692407,0.869997230458086,0.02110985448498996,0.869997230458086,2.0781250596046448,,1450,11,28.661,1548.75,1579.861,
035-negative,035,calibration,0,passenger_unbelted_nonsmoking_100,035.jpg,d0809fb31cd7db723d4c5ed2dbeb1d376a794d6b9402fde6dda186173956534c,0,not_detected,0,False,1,1.0,0.5901078070105112,0.3523694658250025,0.05752272716448627,0.5901078070105112,0.515625,,1450,11,29.019,1333.949,1365.3,
036-positive,036,calibration,1,passenger_smoking_100,036.jpg,4bd752c57f0eef8f223b3eaa73726355cf8e0e0f4aa123997cd0e9206bed2d39,1,detected,1,False,1,1.0,0.25036499543250024,0.7244551353460641,0.025179869221435756,0.7244551353460641,1.0625,,1450,11,29.964,1347.822,1380.512,
036-negative,036,calibration,0,passenger_unbelted_nonsmoking_100,036.jpg,20a9c10a819c943effdd9e551f47a8f295734480dde03a73286fc2dfe427c108,0,not_detected,0,False,1,1.0,0.8899034704208098,0.08149062854398684,0.02860590103520342,0.8899034704208098,2.3906249701976776,,1450,11,26.993,1421.803,1451.154,
037-positive,037,calibration,1,passenger_smoking_100,037.jpg,787b3fb1e9a023a9d9f68eb590632dfde1a56f5039c26f6167f01c776ffdb3da,1,detected,1,False,1,1.0,0.30096393153043616,0.6782326894002921,0.020803379069271696,0.6782326894002921,0.8125,,1450,11,29.291,1417.037,1448.499,
037-negative,037,calibration,0,passenger_unbelted_nonsmoking_100,037.jpg,58dfed478734b0ba61edfbc8c18e9df5a17347ee6615723e84a9b2119c7dcb54,0,not_detected,0,False,1,1.0,0.9121164919164709,0.06504911952947683,0.022834388554052197,0.9121164919164709,2.6406250447034836,,1450,11,29.176,1230.522,1262.409,
038-positive,038,test,1,passenger_smoking_100,038.jpg,0032b128d72698543a213acd6e3c9bf738e8d47e76ba58e7a439456a39255288,1,detected,1,False,1,1.0,0.204875228075191,0.7731910332283293,0.021933738696479705,0.7731910332283293,1.328125,,1450,11,30.752,1239.44,1272.955,
038-negative,038,test,0,passenger_unbelted_nonsmoking_100,038.jpg,3db52ebb02556a262dd4751913c6f6e33c32e99da36c0fd8e88e459e8d406a50,0,not_detected,0,False,1,1.0,0.9106315000461008,0.06393636933419375,0.0254321306197055,0.9106315000461008,2.6562499552965164,,1450,11,28.995,1336.615,1367.892,
039-positive,039,test,1,passenger_smoking_100,039.jpg,6d12e966481f719ee3521d58a62a2d468b6d429c42d24c817adc9ac8909a84d7,1,detected,1,False,1,1.0,0.1753388392145714,0.7981889554857559,0.026472205299672678,0.7981889554857559,1.5156250298023224,,1450,11,29.079,1875.588,1906.729,
039-negative,039,test,0,passenger_unbelted_nonsmoking_100,039.jpg,201210d70d705c3b1570c2bedaeaade862d0f378afb4c3f1cc69e16fdc521a8a,0,not_detected,0,False,1,1.0,0.922705011992403,0.0545536452626033,0.022741342744993703,0.922705011992403,2.828125052154064,,1450,11,28.851,1197.799,1228.974,
040-positive,040,calibration,1,passenger_smoking_100,040.jpg,c9e0a033e9d8ee0c8f97ddd3de10f3727ced354565308aad0b9f7a174b78b38f,1,detected,1,False,1,1.0,0.27213735170283876,0.7058705814795291,0.021992066817632057,0.7058705814795291,0.953125,,1450,11,30.158,1194.641,1227.402,
040-negative,040,calibration,0,passenger_unbelted_nonsmoking_100,040.jpg,961ea0a0323d088d9cf4b9c98172b2bf0ddf5ca1676361dcfd4af5b7c4900481,0,not_detected,0,False,1,1.0,0.8517093100253929,0.11526633273076133,0.03302435724384586,0.8517093100253929,1.9999998956918716,,1450,11,29.656,1203.011,1235.299,
041-positive,041,test,1,passenger_smoking_100,041.jpg,a8df4c4fc8920a027822c856dd17d606327ef5c8b68dbf212e9fa85c9154f59f,1,detected,1,False,1,1.0,0.19460273604895842,0.7817892707717989,0.02360799317924272,0.7817892707717989,1.390625,,1450,11,29.827,1207.491,1239.826,
041-negative,041,test,0,passenger_unbelted_nonsmoking_100,041.jpg,0c928a1c797ba77a2591ee427914232b0584b35f058ea311ea9430d50580fd42,0,not_detected,0,False,1,1.0,0.820724674839815,0.14486651246095622,0.034408812699228714,0.820724674839815,1.7343749850988388,,1450,11,30.281,1379.547,1412.041,
042-positive,042,calibration,1,passenger_smoking_100,042.jpg,cea424b4b7db62cec3b635d69c771f406f2294c7ca382341a5ddb6624b98f076,1,detected,1,False,1,1.0,0.2067497800731104,0.7681686229417991,0.025081596985090528,0.7681686229417991,1.3125,,1450,11,29.5,1344.899,1376.675,
042-negative,042,calibration,0,passenger_unbelted_nonsmoking_100,042.jpg,09bb40a566da09bbf407bb7ff0f21e31faec91495740a5acc8374b880229acd4,0,not_detected,0,False,1,1.0,0.8983863290908036,0.07490534694537884,0.026708323963817462,0.8983863290908036,2.484374910593033,,1450,11,30.134,1319.308,1351.728,
043-positive,043,calibration,1,passenger_smoking_100,043.jpg,b036a3a07a4c8ecbe9ae62bfb69b91a81b8fc51b442b0ecf21a5640f8226de05,1,detected,1,False,1,1.0,0.19164098086671721,0.7820148035013507,0.026344215631932212,0.7820148035013507,1.4062499403953552,,1450,11,29.181,1303.605,1335.261,
